puma,total,white,african_american,asian,hispanic
"PUMA 01900, New York",null,null,null,null,null
"PUMA 04015, New York",162715,68273,56819,13186,20626
"PUMA 04105, New York",207164,27522,117216,30636,21624
"PUMA 04106, New York",138004,45210,17387,41370,28279
"PUMA 04312, New York",null,null,null,null,null
"PUMA 03902, New York",132502,92051,5580,17166,16601
"PUMA 04201, New York",null,null,null,null,null
"PUMA 04307, New York",null,null,null,null,null
"PUMA 00401, New York",null,null,null,null,null
"PUMA 03301, New York",120875,71774,19894,2227,24821
"PUMA 03704, New York",123655,32886,24427,11137,52480
"PUMA 04104, New York",null,null,null,null,null
"PUMA 00901, New York",105585,33531,48343,5943,14076
"PUMA 01002, New York",null,null,null,null,null
"PUMA 03102, New York",155764,128658,7035,2458,12248
"PUMA 03802, New York",138048,37917,27800,10176,56021
"PUMA 02000, New York",null,null,null,null,null
"PUMA 01100, New York",null,null,null,null,null
"PUMA 03400, New York",196277,79087,31062,13673,68158
"PUMA 03503, New York",163551,96712,17346,13127,31342
"PUMA 03705, New York",160651,6656,48564,1126,102226
"PUMA 04001, New York",146253,88763,3747,7619,43864
"PUMA 04007, New York",null,null,null,null,null
"PUMA 04302, New York",null,null,null,null,null
"PUMA 00200, New York",177484,156378,7338,1397,4922
"PUMA 02201, New York",null,null,null,null,null
"PUMA 04018, New York",null,null,null,null,null
"PUMA 04113, New York",135257,34373,17641,25394,30955
"PUMA 04311, New York",null,null,null,null,null
"PUMA 04008, New York",null,null,null,null,null
"PUMA 04014, New York",null,null,null,null,null
"PUMA 04111, New York",135589,25220,12800,30934,55780
"PUMA 02700, New York",null,null,null,null,null
"PUMA 03602, New York",178578,110635,25497,6333,34026
"PUMA 03101, New York",null,null,null,null,null
"PUMA 03501, New York",null,null,null,null,null
"PUMA 04112, New York",222074,3616,138765,20443,47613
"PUMA 00300, New York",null,null,null,null,null
"PUMA 01005, New York",null,null,null,null,null
"PUMA 04205, New York",null,null,null,null,null
"PUMA 03504, New York",null,null,null,null,null
"PUMA 04204, New York",null,null,null,null,null
"PUMA 03601, New York",133605,91670,10162,13754,15061
"PUMA 04304, New York",null,null,null,null,null
"PUMA 04203, New York",null,null,null,null,null
"PUMA 01001, New York",null,null,null,null,null
"PUMA 04212, New York",null,null,null,null,null
"PUMA 01604, New York",null,null,null,null,null
"PUMA 04210, New York",null,null,null,null,null
"PUMA 01800, New York",null,null,null,null,null
"PUMA 04208, New York",null,null,null,null,null
"PUMA 03809, New York",159009,53645,10171,55170,36472
"PUMA 04006, New York",119323,22661,73483,3918,16355
"PUMA 04017, New York",164506,83461,246,55487,22051
"PUMA 00700, New York",145216,77100,41340,6769,13014
"PUMA 01402, New York",null,null,null,null,null
"PUMA 04110, New York",180932,93491,2057,16180,67143
"PUMA 01601, New York",null,null,null,null,null
"PUMA 03710, New York",156790,3132,45829,1617,104712
"PUMA 03706, New York",124826,8988,25834,6181,82348
"PUMA 04303, New York",null,null,null,null,null
"PUMA 03703, New York",null,null,null,null,null
"PUMA 01602, New York",null,null,null,null,null
"PUMA 04011, New York",null,null,null,null,null
"PUMA 04310, New York",null,null,null,null,null
"PUMA 03302, New York",122794,80842,10905,4512,25243
"PUMA 03505, New York",192232,91630,55729,4599,33635
"PUMA 02500, New York",null,null,null,null,null
"PUMA 03807, New York",134471,85530,8502,18648,16920
"PUMA 03901, New York",null,null,null,null,null
"PUMA 04003, New York",133302,19462,80115,5246,26717
"PUMA 01003, New York",null,null,null,null,null
"PUMA 02402, New York",196956,173612,5254,9428,6391
"PUMA 01502, New York",null,null,null,null,null
"PUMA 02401, New York",106877,57096,32666,4483,8671
"PUMA 04309, New York",128242,21114,20445,3427,79312
"PUMA 00802, New York",null,null,null,null,null
"PUMA 01401, New York",158881,63024,80238,5039,4927
"PUMA 02300, New York",null,null,null,null,null
"PUMA 04103, New York",257327,77081,5088,129131,38676
"PUMA 00600, New York",null,null,null,null,null
"PUMA 02601, New York",null,null,null,null,null
"PUMA 04101, New York",166666,77645,11420,24111,48592
"PUMA 01300, New York",null,null,null,null,null
"PUMA 03801, New York",205414,38864,15153,4041,144120
"PUMA 04107, New York",136517,11053,8861,48145,64876
"PUMA 00801, New York",null,null,null,null,null
"PUMA 03707, New York",135266,2073,39447,452,91131
"PUMA 00500, New York",143997,126228,5439,1860,6597
"PUMA 00803, New York",null,null,null,null,null
"PUMA 04009, New York",null,null,null,null,null
"PUMA 04308, New York",null,null,null,null,null
"PUMA 01603, New York",null,null,null,null,null
"PUMA 03202, New York",166485,108282,24032,7654,22352
"PUMA 04004, New York",125468,53554,37631,8288,20918
"PUMA 03804, New York",114525,15248,36772,8033,52944
"PUMA 01200, New York",null,null,null,null,null
"PUMA 03808, New York",145044,100451,7836,19071,12604
"PUMA 04109, New York",125229,34363,1867,43588,42736
"PUMA 04202, New York",114323,81906,3583,9493,17196
