puma,total,white,african_american,asian,hispanic
"PUMA 00100, New York",111894,103918,2289,1129,2171
"PUMA 01700, New York",136819,113475,5545,9954,5662
"PUMA 02100, New York",154889,119272,15376,5837,8908
"PUMA 02900, New York",129172,120406,1792,1218,2092
"PUMA 03000, New York",134768,119970,3119,812,8309
"PUMA 03805, New York",null,null,null,null,null
"PUMA 03806, New York",199843,136085,13121,15414,30572
"PUMA 02202, New York",null,null,null,null,null
"PUMA 03201, New York",131092,113535,3541,3035,9091
"PUMA 04002, New York",140437,12665,27056,4073,96013
"PUMA 04012, New York",141190,33681,2850,47327,54724
"PUMA 04013, New York",137599,78125,1048,34090,19229
"PUMA 01501, New York",null,null,null,null,null
"PUMA 04005, New York",119558,74321,10297,7170,23730
"PUMA 04209, New York",null,null,null,null,null
"PUMA 01605, New York",null,null,null,null,null
"PUMA 02800, New York",null,null,null,null,null
"PUMA 03701, New York",109153,41105,14483,5677,46156
"PUMA 04206, New York",136537,20002,58297,2550,52848
"PUMA 04305, New York",null,null,null,null,null
"PUMA 04114, New York",null,null,null,null,null
"PUMA 03502, New York",148005,87920,12795,6439,37307
"PUMA 04301, New York",203417,162344,8825,8913,21572
"PUMA 00804, New York",null,null,null,null,null
"PUMA 01004, New York",null,null,null,null,null
"PUMA 02602, New York",null,null,null,null,null
"PUMA 03803, New York",126558,14884,74218,4397,29876
"PUMA 03810, New York",144944,106063,3420,21142,8114
"PUMA 03303, New York",null,null,null,null,null
"PUMA 04010, New York",null,null,null,null,null
"PUMA 04016, New York",null,null,null,null,null
"PUMA 04102, New York",170161,17828,10582,28306,109847
"PUMA 04108, New York",null,null,null,null,null
"PUMA 04211, New York",null,null,null,null,null
"PUMA 00402, New York",148187,116252,10038,6564,9347
"PUMA 03709, New York",182977,4364,58511,13025,102755
"PUMA 04306, New York",null,null,null,null,null
"PUMA 03506, New York",null,null,null,null,null
"PUMA 03702, New York",137233,10415,87866,2538,34256
"PUMA 03708, New York",146624,786,48127,2517,93484
"PUMA 03903, New York",172052,71088,37278,13960,46730
"PUMA 04207, New York",null,null,null,null,null
"PUMA 00902, New York",104841,40916,37612,1155,20189
