puma,total,white,african_american,asian,hispanic
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",165085,3568,47881,1426,109906
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",null,null,null,null,null
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",133573,27453,30933,11573,61603
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",145536,12207,90795,4481,34698
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",176226,7916,52320,1330,112944
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",154296,3662,43312,2491,101605
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",143996,1593,41739,1585,96798
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",129884,9320,18457,5798,92001
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",112505,39112,17057,5186,48505
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",178301,7635,48272,15099,102961
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",122418,67876,1420,31269,19636
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",163459,63770,53582,17973,24171
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",127468,2921,90014,2588,30312
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",143028,4292,126097,915,9819
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",213242,47546,134541,9960,18699
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",167820,103474,5892,13635,40950
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",134656,62330,31755,13009,20415
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",150857,41339,75959,3515,27127
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",122010,22896,21944,5904,68070
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",158756,4959,77597,7603,63581
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",117037,77791,7086,8830,18176
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",149773,36427,2549,50665,56863
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",131303,28416,72826,5387,19624
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",115092,24691,74508,2732,9515
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",null,null,null,null,null
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",140209,21047,75923,3625,34967
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",122434,15934,37144,8118,59259
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",227328,46246,17223,6554,154066
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",164036,54299,11925,49828,43552
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",159606,94861,8864,28583,22427
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",null,null,null,null,null
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",null,null,null,null,null
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",214571,161228,6158,22046,17381
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",132630,40804,21954,12703,52542
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",135849,33209,17114,34228,33106
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",null,null,null,null,null
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",246946,3545,153406,29203,42069
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",203013,22814,110522,30266,28261
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",null,null,null,null,null
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",175460,86534,8920,28214,46876
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",144899,38479,2133,54881,45360
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",186415,20632,8887,26619,126992
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",129606,7267,10468,46951,62001
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",186458,98987,2531,13538,69135
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",127938,64749,4274,35318,17253
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",247398,58449,4938,137884,40158
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",161612,49497,18988,58208,27269
