puma,total,white,african_american,asian,hispanic
"PUMA 03703, New York",122886,44757,26345,1957,48426
"PUMA 01602, New York",null,null,null,null,null
"PUMA 04011, New York",113947,16453,83862,2967,8931
"PUMA 04310, New York",null,null,null,null,null
"PUMA 03302, New York",124121,81799,14557,3749,20603
"PUMA 03505, New York",188441,82397,58080,7137,32642
"PUMA 03807, New York",143051,91132,5610,18365,23189
"PUMA 03901, New York",null,null,null,null,null
"PUMA 04003, New York",132524,21649,80740,3160,24184
"PUMA 01003, New York",null,null,null,null,null
"PUMA 02402, New York",198211,170707,5113,9033,8202
"PUMA 01502, New York",null,null,null,null,null
"PUMA 02401, New York",105354,58509,29456,6430,7489
"PUMA 04309, New York",124933,23929,19274,4141,75817
"PUMA 00802, New York",null,null,null,null,null
"PUMA 01401, New York",152375,62324,75256,2765,5665
"PUMA 04103, New York",247116,71367,4016,125485,37652
"PUMA 00600, New York",null,null,null,null,null
"PUMA 02601, New York",null,null,null,null,null
"PUMA 04101, New York",170174,81645,12762,20694,52102
"PUMA 01300, New York",null,null,null,null,null
"PUMA 03801, New York",210245,33432,16886,5328,148989
"PUMA 04107, New York",137879,13057,10000,43552,69460
"PUMA 00801, New York",null,null,null,null,null
"PUMA 03707, New York",133352,1993,36449,1739,91780
"PUMA 00500, New York",145459,125422,6281,1872,7549
"PUMA 00803, New York",null,null,null,null,null
"PUMA 04009, New York",205095,47361,127213,9374,17572
"PUMA 04308, New York",null,null,null,null,null
"PUMA 01603, New York",null,null,null,null,null
"PUMA 03202, New York",172360,114174,22728,8938,21817
"PUMA 04004, New York",118910,54080,27087,8065,25747
"PUMA 03804, New York",123386,13784,37764,9629,58884
"PUMA 03808, New York",null,null,null,null,null
"PUMA 04109, New York",130059,35862,2861,46257,42499
"PUMA 04202, New York",null,null,null,null,null
