puma,total,white,african_american,asian,hispanic
"PUMA 00100, New York",111690,103432,2004,865,2266
"PUMA 00300, New York",128996,121168,2776,694,2783
"PUMA 01200, New York",107014,97365,3138,1142,3199
"PUMA 01700, New York",136921,111637,5659,9932,5708
"PUMA 02100, New York",155058,119289,13352,5130,9285
"PUMA 02300, New York",159395,135811,8946,3213,6498
"PUMA 02500, New York",111504,97361,4941,1301,5013
"PUMA 02900, New York",128610,119541,952,1054,2129
"PUMA 03000, New York",134368,119425,2848,992,8463
"PUMA 03805, New York",null,null,null,null,null
"PUMA 03806, New York",193671,133755,12141,15769,27658
"PUMA 02202, New York",null,null,null,null,null
"PUMA 03201, New York",null,null,null,null,null
"PUMA 04002, New York",138763,14482,27917,6215,88329
"PUMA 04012, New York",152038,35459,5267,41077,66620
"PUMA 04013, New York",null,null,null,null,null
"PUMA 01501, New York",null,null,null,null,null
"PUMA 04005, New York",112066,70362,8116,6744,23088
"PUMA 04209, New York",null,null,null,null,null
"PUMA 01605, New York",null,null,null,null,null
"PUMA 02800, New York",null,null,null,null,null
"PUMA 03701, New York",103785,35074,13111,4779,48044
"PUMA 04206, New York",141654,21267,63449,3582,50532
"PUMA 04305, New York",null,null,null,null,null
"PUMA 04114, New York",107945,38671,37061,3929,26078
"PUMA 03502, New York",143109,88988,10637,8313,32529
"PUMA 04301, New York",null,null,null,null,null
"PUMA 00804, New York",102316,93128,3315,368,3275
"PUMA 01004, New York",174704,143653,10120,11509,5423
"PUMA 02602, New York",130792,106822,7953,6886,5694
"PUMA 03803, New York",123524,12985,78446,4675,24259
"PUMA 03810, New York",null,null,null,null,null
"PUMA 03303, New York",128463,98818,4309,3986,18257
"PUMA 04010, New York",131274,1397,119053,1456,7043
"PUMA 04016, New York",null,null,null,null,null
"PUMA 04102, New York",185667,17820,10349,30481,123369
"PUMA 04108, New York",null,null,null,null,null
"PUMA 04211, New York",107612,57373,18033,7893,23507
"PUMA 00402, New York",151454,118500,11307,6685,10533
"PUMA 03709, New York",182740,4301,58077,9953,104098
"PUMA 04306, New York",null,null,null,null,null
"PUMA 03506, New York",null,null,null,null,null
"PUMA 03702, New York",143486,9466,96971,3840,30424
"PUMA 03708, New York",141627,1920,46194,2112,88256
"PUMA 03903, New York",173412,63045,42225,14928,50768
"PUMA 04207, New York",115604,87900,3223,8821,13151
"PUMA 00902, New York",114204,46650,35540,2707,26013
"PUMA 01900, New York",null,null,null,null,null
"PUMA 04015, New York",162760,67493,50111,16004,26424
"PUMA 04105, New York",200640,28015,112568,30275,20579
"PUMA 04106, New York",144431,50399,19203,43376,25316
"PUMA 04312, New York",null,null,null,null,null
"PUMA 03902, New York",null,null,null,null,null
"PUMA 04201, New York",null,null,null,null,null
"PUMA 04307, New York",null,null,null,null,null
"PUMA 00401, New York",146993,140637,1605,742,1809
"PUMA 03301, New York",null,null,null,null,null
"PUMA 03704, New York",121836,31891,26296,13422,48126
"PUMA 04104, New York",118669,52893,1772,45328,12645
"PUMA 00901, New York",null,null,null,null,null
"PUMA 01002, New York",null,null,null,null,null
"PUMA 03102, New York",156704,128232,8230,2650,13862
"PUMA 03802, New York",138515,36580,33579,12347,51477
"PUMA 02000, New York",null,null,null,null,null
"PUMA 01100, New York",null,null,null,null,null
"PUMA 03400, New York",197397,81293,30369,13128,69919
"PUMA 03503, New York",164910,95753,18058,14555,32962
"PUMA 03705, New York",172448,7929,50022,1056,109711
"PUMA 04001, New York",144584,94393,5514,6312,35242
"PUMA 04007, New York",126002,1502,95846,997,25945
"PUMA 04302, New York",null,null,null,null,null
"PUMA 00200, New York",176993,157140,7090,1185,6475
"PUMA 02201, New York",null,null,null,null,null
"PUMA 04018, New York",102351,61087,11357,13948,15240
"PUMA 04113, New York",132853,29415,22945,26845,32198
"PUMA 04311, New York",null,null,null,null,null
"PUMA 04008, New York",146530,10097,79877,4991,48989
"PUMA 04014, New York",null,null,null,null,null
"PUMA 04111, New York",155315,28999,12829,37351,65668
"PUMA 02700, New York",null,null,null,null,null
"PUMA 03602, New York",181506,108515,27414,5992,36932
"PUMA 03101, New York",102644,77252,7526,1822,13189
"PUMA 03501, New York",null,null,null,null,null
"PUMA 04112, New York",231813,3757,146575,26622,41914
"PUMA 01005, New York",null,null,null,null,null
"PUMA 04205, New York",124066,69565,18406,11292,20279
"PUMA 03504, New York",116875,77109,3553,3850,31467
"PUMA 04204, New York",115086,61675,10471,18224,19762
"PUMA 03601, New York",133652,94302,8592,14501,13754
"PUMA 04304, New York",137011,108881,5018,1996,18972
"PUMA 04203, New York",null,null,null,null,null
"PUMA 01001, New York",null,null,null,null,null
"PUMA 04212, New York",null,null,null,null,null
"PUMA 01604, New York",null,null,null,null,null
"PUMA 04210, New York",null,null,null,null,null
"PUMA 01800, New York",null,null,null,null,null
"PUMA 04208, New York",null,null,null,null,null
"PUMA 03809, New York",165774,50227,13519,58808,38302
"PUMA 04006, New York",126360,22760,78606,4058,18568
"PUMA 04017, New York",null,null,null,null,null
"PUMA 00700, New York",145150,78137,39664,8709,10226
"PUMA 01402, New York",108629,57340,19882,5473,20699
"PUMA 04110, New York",173357,98064,1746,9988,62663
"PUMA 01601, New York",null,null,null,null,null
"PUMA 03710, New York",152042,2954,40163,586,106915
"PUMA 03706, New York",117800,13565,22032,7598,72658
"PUMA 04303, New York",null,null,null,null,null
