puma,total,white,african_american,asian,hispanic
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",164003,4890,44366,1169,111241
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",119071,29189,35121,3995,48866
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",124931,24495,27996,8855,60162
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",135799,10107,83869,2396,34631
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",175456,7445,58506,1634,105346
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",136636,4319,38966,1355,88709
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",139732,1837,35207,1791,98477
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",133784,6367,20511,5373,97455
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",119846,34646,18484,4629,59702
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",182874,4579,50906,20437,102639
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",125200,62841,3613,28615,27081
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",186850,69278,1778,76401,32002
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",154833,59763,51288,17259,21539
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",158213,100851,5736,31330,12735
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",122128,2871,85544,877,31141
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",135931,4277,117314,1695,9642
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",195026,43499,117719,12126,16514
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",162381,107012,6330,9910,33639
