puma,total,white,african_american,asian,hispanic
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",162945,3891,43775,616,112479
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",122671,38147,32716,5968,44182
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",121307,26255,24410,7212,60662
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",135386,11363,90685,2345,27057
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",168746,9766,55728,754,100976
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",138206,2082,41674,3466,88432
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",136077,1837,37927,3547,90060
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",127336,7480,17489,8261,92532
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",114884,40957,14214,4834,50855
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",191175,4850,59966,13906,107543
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",106249,61584,12864,15209,13716
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",157167,62520,52269,16512,23695
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",132564,2103,118740,1328,8033
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",201817,47233,127963,9280,13525
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",156086,97232,5328,12302,37905
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",130954,57172,34753,11458,21914
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",143629,31956,80242,2891,26568
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",145795,18825,26782,7413,91476
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",158183,5669,85904,6685,55669
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",116339,75605,5836,7237,22125
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",154422,28789,4881,50024,67764
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",127050,28126,72629,4778,15787
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",null,null,null,null,null
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",null,null,null,null,null
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",148434,20864,86605,4575,32687
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",114311,18793,33898,9246,47399
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",218366,39541,14758,4540,156452
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",163820,49243,10299,52502,44578
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",146996,89389,11325,21017,21102
