puma,total,white,african_american,asian,hispanic
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",158351,2613,39078,1740,113245
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",119950,38014,36776,3275,39006
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",136275,35330,28707,8317,61483
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",145754,10867,97668,1325,33747
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",166828,8141,51706,1485,103135
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",137175,2721,49491,1062,82511
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",131879,2460,34286,1800,92438
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",128117,8786,20982,10834,84064
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",104603,35726,13360,6102,48048
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",179541,4604,47717,14687,106932
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",127481,75362,1672,32302,16671
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",162352,117157,2969,21877,17622
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",148198,56350,52615,12824,21970
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",128864,3654,94800,2885,26178
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",140973,2695,124138,2261,9462
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",204158,48859,131666,5163,15679
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",147300,96573,4543,9107,34529
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",130102,58312,35174,11587,21175
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",136462,27675,77376,2608,26088
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",143782,14673,22062,5505,99514
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",157832,6245,83594,5836,59721
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",109204,70481,8198,6635,19701
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",151902,34121,3242,49760,62582
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",120243,22763,78861,3486,13107
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",null,null,null,null,null
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",147935,103182,2351,23915,14020
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",138256,14588,80661,4550,33868
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",122538,20216,35137,9464,54783
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",213564,30465,16363,6206,157664
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",167050,55153,13940,53134,39247
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",141068,93381,6601,16957,20504
