puma,total,white,african_american,asian,hispanic
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",null,null,null,null,null
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",198568,137638,14876,15836,24770
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",null,null,null,null,null
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",128093,36853,29457,10196,48634
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",133178,30962,21694,23979,32544
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",null,null,null,null,null
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",228128,3651,144549,24794,39396
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",197751,25073,107741,30709,24370
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",128358,42610,48909,5453,26007
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",165035,86839,10220,21519,42502
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",140399,39938,1514,49819,46823
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",179741,19517,9172,31744,115728
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",140591,8270,7887,47021,76156
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",164301,87886,2367,12543,59540
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",115976,66006,4162,25546,17654
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",250135,64503,5765,124205,48877
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",157855,52465,17764,49864,28987
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",148177,26175,10005,38636,58890
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",175699,65635,38390,13407,54215
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",null,null,null,null,null
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",null,null,null,null,null
