name,code
NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4001
NYC-Brooklyn Community District 4--Bushwick PUMA,4002
NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,4003
NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4004
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",4005
NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,4006
NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,4007
NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,4008
NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,4009
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",4010
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",4011
NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4012
NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,4013
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",4014
NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,4015
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",4016
NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4017
NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4018
NYC-Queens Community District 1--Astoria & Long Island City PUMA,4101
NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,4102
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4103
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",4104
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",4105
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4106
NYC-Queens Community District 4--Elmhurst & South Corona PUMA,4107
NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4108
NYC-Queens Community District 2--Sunnyside & Woodside PUMA,4109
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",4110
NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,4111
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",4112
NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,4113
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",4114
