puma,total,white,african_american,asian,hispanic
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",167147,1548,52110,1170,111365
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",121209,41219,31106,2858,43340
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",135839,31614,26459,11351,64308
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",134644,9579,85450,4365,31418
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",172247,7540,49232,2442,111045
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",141467,2354,48257,2280,84858
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",132850,1405,39223,227,91000
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",135893,9510,17993,12522,93007
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",106737,36461,13775,5466,49120
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",190126,4829,61442,11270,109114
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",128545,71136,1690,31751,21177
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",180723,72213,54775,22531,25772
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",137815,95498,5152,22123,13274
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",123772,1827,93015,1118,26569
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",210957,48196,130951,11327,17217
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",154713,93887,11531,10837,34384
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",139070,62009,38112,12947,20877
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",133235,27659,70683,3583,28394
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",137368,22741,23871,7458,81231
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",155863,5760,81116,4165,61895
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",125062,83798,7626,7288,20472
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",152685,35266,2991,51673,61494
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",126747,22963,82683,4207,13666
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",null,null,null,null,null
