TaxIncentiveDWID,ProjectID,TaxIncentiveName,Year1Amount
6724,67504,Article XI,148465
6519,67752,Article XI,101802
5967,66805,Article XI,254510
5807,63880,Article XI,76123
6346,65298,Article XI,94550
4741,53010,Article XI,74116
6928,66720,Article XI,2172516
5135,61611,Article XI,44696
6161,65054,Article XI,1257542
6998,67367,Article XI,622066
5021,63751,Article XI,518626
6221,65391,Article XI,630000
6160,61931,Article XI,5398629
6600,63777,Article XI,1738127
6951,68810,Article XI,499200
5849,66834,Article XI,597916
6245,68073,Article XI,48339
6716,67438,Article XI,243105
6588,65320,Article XI,612852
6603,67462,Article XI,45658
6952,68188,Article XI,314337
6595,67459,Article XI,100340
6838,67890,Article XI,460043
5833,65348,Article XI,528965
6166,66929,Article XI,646097
6113,62109,Article XI,1250165
5837,63761,Article XI,1406737
6625,67636,Article XI,609277
