puma,total,studio,one_bed,two_bed,three_bed,four_bed,five_bed+
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",968,884,945,994,991,830,1574
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",1178,1011,836,1337,1559,-,-
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",1271,1050,1191,1460,1516,1487,2087
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",1382,997,1221,1431,1688,1928,-
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",1025,582,952,1083,1155,1323,-
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",1121,947,1063,1142,1450,1134,-
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",1165,983,1137,1206,1219,1353,-
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",1257,1081,1185,1458,1418,2010,-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1385,1109,1266,1577,1723,2310,-
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",1160,915,1109,1217,1395,1584,-
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",1450,1225,1395,1528,1796,1459,-
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1368,1142,1253,1395,1617,1891,1609
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1421,1348,1280,1472,1614,2075,1816
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1019,760,959,1143,971,867,-
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1394,1186,1336,1531,1719,1705,-
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1388,1108,1370,1391,1797,1872,"3,500+"
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",884,818,717,929,1235,963,674
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",1285,1047,1209,1312,1690,1278,-
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1399,1129,1197,1383,1843,1331,-
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",1961,2192,2102,2044,1450,1586,1321
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",1881,1630,2132,1906,1678,991,1856
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",1216,744,1203,1229,1233,1951,1177
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",1437,1500,1200,1422,1703,1949,1337
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",1225,1002,899,1286,1492,1516,-
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",2237,1548,2215,2345,2734,2019,1823
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1442,767,1439,1393,1704,1698,-
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",1246,1190,1181,1204,1501,1988,551
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1277,1031,1206,1372,1569,1143,1196
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",2559,2527,2483,2639,3304,1201,-
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",1048,946,1099,1018,1089,1059,987
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",895,1045,972,878,808,546,-
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",1272,1469,1248,1220,1412,1681,895
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",1117,1403,1108,1113,934,1422,-
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",2110,2152,2384,1488,1792,1022,-
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",2445,2303,2330,2900,2823,-,-
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",1916,1753,2232,1320,1627,1915,-
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",2339,2009,2549,2543,2519,594,-
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1254,1332,1165,1156,1384,1870,-
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",1563,-,1242,1521,1809,1639,-
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1809,1379,1715,1703,2135,2597,-
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1308,1010,1044,1362,1694,1723,243
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",1601,644,1306,1558,1811,2056,1858
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1174,1056,992,1192,1668,2061,1627
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",1638,1553,1612,1621,1946,2335,1875
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",1612,1326,1462,1790,2051,-,1706
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1505,1296,1383,1622,2074,2302,-
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",1460,1203,1362,1534,1834,1985,-
